,date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,Population,ratio_new
6607630,2020-01-01,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607631,2020-01-02,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607632,2020-01-03,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607633,2020-01-04,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607634,2020-01-05,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607635,2020-01-06,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607636,2020-01-07,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607637,2020-01-08,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607638,2020-01-09,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607639,2020-01-10,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607640,2020-01-11,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607641,2020-01-12,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607642,2020-01-13,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607643,2020-01-14,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607644,2020-01-15,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607645,2020-01-16,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607646,2020-01-17,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607647,2020-01-18,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607648,2020-01-19,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607649,2020-01-20,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607650,2020-01-21,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607651,2020-01-22,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607652,2020-01-23,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607653,2020-01-24,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607654,2020-01-25,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607655,2020-01-26,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607656,2020-01-27,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607657,2020-01-28,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607658,2020-01-29,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607659,2020-01-30,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607660,2020-01-31,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607661,2020-02-01,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607662,2020-02-02,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607663,2020-02-03,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607664,2020-02-04,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607665,2020-02-05,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607666,2020-02-06,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607667,2020-02-07,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607668,2020-02-08,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607669,2020-02-09,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607670,2020-02-10,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607671,2020-02-11,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607672,2020-02-12,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607673,2020-02-13,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607674,2020-02-14,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607675,2020-02-15,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607676,2020-02-16,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607677,2020-02-17,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607678,2020-02-18,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607679,2020-02-19,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607680,2020-02-20,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607681,2020-02-21,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607682,2020-02-22,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607683,2020-02-23,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607684,2020-02-24,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607685,2020-02-25,ES_AN,0.0,0.0,,,0.0,0.0,,,8464411.0,0.0
6607686,2020-02-26,ES_AN,1.0,0.0,,,1.0,0.0,,,8464411.0,1.1814171121889048e-07
6607687,2020-02-27,ES_AN,1.0,0.0,,,2.0,0.0,,,8464411.0,1.1814171121889048e-07
6607688,2020-02-28,ES_AN,6.0,0.0,,,8.0,0.0,,,8464411.0,7.088502673133429e-07
6607689,2020-02-29,ES_AN,3.0,0.0,,,11.0,0.0,,,8464411.0,3.5442513365667146e-07
6607690,2020-03-01,ES_AN,0.0,0.0,,,11.0,0.0,,,8464411.0,0.0
6607691,2020-03-02,ES_AN,1.0,0.0,,,12.0,0.0,,,8464411.0,1.1814171121889048e-07
6607692,2020-03-03,ES_AN,1.0,0.0,,,13.0,0.0,,,8464411.0,1.1814171121889048e-07
6607693,2020-03-04,ES_AN,0.0,0.0,,,13.0,0.0,,,8464411.0,0.0
6607694,2020-03-05,ES_AN,5.0,0.0,,,18.0,0.0,,,8464411.0,5.907085560944524e-07
6607695,2020-03-06,ES_AN,13.0,0.0,,,31.0,0.0,,,8464411.0,1.5358422458455763e-06
6607696,2020-03-07,ES_AN,5.0,0.0,,,36.0,0.0,,,8464411.0,5.907085560944524e-07
6607697,2020-03-08,ES_AN,18.0,0.0,,,54.0,0.0,,,8464411.0,2.1265508019400285e-06
6607698,2020-03-09,ES_AN,19.0,0.0,,,73.0,0.0,,,8464411.0,2.244692513158919e-06
6607699,2020-03-10,ES_AN,18.0,0.0,,,91.0,0.0,,,8464411.0,2.1265508019400285e-06
6607700,2020-03-11,ES_AN,46.0,0.0,,,137.0,0.0,,,8464411.0,5.434518716068962e-06
6607701,2020-03-12,ES_AN,76.0,0.0,,,213.0,0.0,,,8464411.0,8.978770052635677e-06
6607702,2020-03-13,ES_AN,157.0,2.0,,,370.0,2.0,,,8464411.0,1.8548248661365806e-05
6607703,2020-03-14,ES_AN,123.0,5.0,,,493.0,7.0,,,8464411.0,1.453143047992353e-05
6607704,2020-03-15,ES_AN,167.0,4.0,,,660.0,11.0,,,8464411.0,1.972966577355471e-05
6607705,2020-03-16,ES_AN,129.0,5.0,,,789.0,16.0,,,8464411.0,1.5240280747236873e-05
6607706,2020-03-17,ES_AN,253.0,8.0,,,1042.0,24.0,,,8464411.0,2.9889852938379293e-05
6607707,2020-03-18,ES_AN,248.0,5.0,,,1290.0,29.0,,,8464411.0,2.929914438228484e-05
6607708,2020-03-19,ES_AN,339.0,15.0,,,1629.0,44.0,,,8464411.0,4.005004010320387e-05
6607709,2020-03-20,ES_AN,318.0,14.0,,,1947.0,58.0,,,8464411.0,3.7569064167607174e-05
6607710,2020-03-21,ES_AN,381.0,18.0,,,2328.0,76.0,,,8464411.0,4.501199197439727e-05
6607711,2020-03-22,ES_AN,367.0,28.0,,,2695.0,104.0,,,8464411.0,4.3358008017332804e-05
6607712,2020-03-23,ES_AN,555.0,30.0,,,3250.0,134.0,,,8464411.0,6.556864972648422e-05
6607713,2020-03-24,ES_AN,560.0,36.0,,,3810.0,170.0,,,8464411.0,6.615935828257867e-05
6607714,2020-03-25,ES_AN,644.0,33.0,,,4454.0,203.0,,,8464411.0,7.608326202496547e-05
6607715,2020-03-26,ES_AN,675.0,46.0,,,5129.0,249.0,,,8464411.0,7.974565507275108e-05
6607716,2020-03-27,ES_AN,644.0,48.0,,,5773.0,297.0,,,8464411.0,7.608326202496547e-05
6607717,2020-03-28,ES_AN,647.0,28.0,,,6420.0,325.0,,,8464411.0,7.643768715862215e-05
6607718,2020-03-29,ES_AN,405.0,40.0,,,6825.0,365.0,,,8464411.0,4.784739304365064e-05
6607719,2020-03-30,ES_AN,483.0,53.0,,,7308.0,418.0,,,8464411.0,5.7062446518724105e-05
6607720,2020-03-31,ES_AN,514.0,47.0,,,7822.0,465.0,,,8464411.0,6.072483956650971e-05
6607721,2020-04-01,ES_AN,470.0,43.0,,,8292.0,508.0,,,8464411.0,5.5526604272878524e-05
6607722,2020-04-02,ES_AN,466.0,54.0,,,8758.0,562.0,,,8464411.0,5.505403742800296e-05
6607723,2020-04-03,ES_AN,372.0,44.0,,,9130.0,606.0,,,8464411.0,4.394871657342726e-05
6607724,2020-04-04,ES_AN,372.0,51.0,,,9502.0,657.0,,,8464411.0,4.394871657342726e-05
6607725,2020-04-05,ES_AN,121.0,40.0,,,9623.0,697.0,,,8464411.0,1.4295147057485748e-05
6607726,2020-04-06,ES_AN,216.0,42.0,,,9839.0,739.0,,,8464411.0,2.5518609623280346e-05
6607727,2020-04-07,ES_AN,277.0,39.0,,,10116.0,778.0,,,8464411.0,3.2725254007632665e-05
6607728,2020-04-08,ES_AN,292.0,55.0,,,10408.0,833.0,,,8464411.0,3.449737967591602e-05
6607729,2020-04-09,ES_AN,210.0,32.0,,,10618.0,865.0,,,8464411.0,2.4809759355967e-05
6607730,2020-04-10,ES_AN,210.0,46.0,,,10828.0,911.0,,,8464411.0,2.4809759355967e-05
6607731,2020-04-11,ES_AN,155.0,23.0,,,10983.0,934.0,,,8464411.0,1.8311965238928026e-05
6607732,2020-04-12,ES_AN,109.0,33.0,,,11092.0,967.0,,,8464411.0,1.2877446522859063e-05
6607733,2020-04-13,ES_AN,146.0,21.0,,,11238.0,988.0,,,8464411.0,1.724868983795801e-05
6607734,2020-04-14,ES_AN,151.0,34.0,,,11389.0,1022.0,,,8464411.0,1.783939839405246e-05
6607735,2020-04-15,ES_AN,128.0,27.0,,,11517.0,1049.0,,,8464411.0,1.5122139036017981e-05
6607736,2020-04-16,ES_AN,122.0,25.0,,,11639.0,1074.0,,,8464411.0,1.441328876870464e-05
6607737,2020-04-17,ES_AN,126.0,26.0,,,11765.0,1100.0,,,8464411.0,1.48858556135802e-05
6607738,2020-04-18,ES_AN,71.0,19.0,,,11836.0,1119.0,,,8464411.0,8.388061496541224e-06
6607739,2020-04-19,ES_AN,52.0,19.0,,,11888.0,1138.0,,,8464411.0,6.143368983382305e-06
6607740,2020-04-20,ES_AN,72.0,28.0,,,11960.0,1166.0,,,8464411.0,8.506203207760114e-06
6607741,2020-04-21,ES_AN,114.0,23.0,,,12074.0,1189.0,,,8464411.0,1.3468155078953514e-05
6607742,2020-04-22,ES_AN,68.0,15.0,,,12142.0,1204.0,,,8464411.0,8.033636362884553e-06
6607743,2020-04-23,ES_AN,68.0,23.0,,,12210.0,1227.0,,,8464411.0,8.033636362884553e-06
6607744,2020-04-24,ES_AN,73.0,11.0,,,12283.0,1238.0,,,8464411.0,8.624344918979004e-06
6607745,2020-04-25,ES_AN,53.0,12.0,,,12336.0,1250.0,,,8464411.0,6.261510694601195e-06
6607746,2020-04-26,ES_AN,15.0,13.0,,,12351.0,1263.0,,,8464411.0,1.7721256682833572e-06
